Red,X,Y,Z,x,y
117,7.1678,22.4813,1.3132,0.2315,0.7261
116,6.8521,21.4562,1.2496,0.2318,0.7259
115,6.5567,20.5047,1.1922,0.2321,0.7257
114,6.2835,19.6229,1.1381,0.2323,0.7256
113,6.1179,19.0862,1.1032,0.2326,0.7255
112,5.8582,18.2563,1.0523,0.2328,0.7254
111,5.6252,17.5094,1.0077,0.233,0.7253
110,5.4443,16.9284,0.9727,0.2332,0.7251
109,5.2046,16.1611,0.928,0.2335,0.7249
108,5.0359,15.6222,0.8931,0.2337,0.7249
107,4.8114,14.9074,0.858,0.2338,0.7245
106,4.6237,14.3084,0.819,0.2341,0.7244
105,4.4353,13.7127,0.7852,0.2343,0.7243
104,4.2483,13.1185,0.7479,0.2345,0.7242
103,4.065,12.5393,0.7159,0.2347,0.724
102,3.8956,12.0045,0.684,0.2349,0.7239
101,3.7388,11.5102,0.6557,0.2351,0.7237
100,3.5862,11.0271,0.6257,0.2353,0.7236
99,3.3881,10.405,0.5867,0.2356,0.7236
98,3.2482,9.9654,0.5646,0.2357,0.7233
97,3.1006,9.4972,0.5364,0.2361,0.7231
96,2.9595,9.0555,0.5091,0.2363,0.723
95,2.8112,8.5923,0.4861,0.2364,0.7227
94,2.6779,8.1803,0.4597,0.2366,0.7228
93,2.553,7.791,0.437,0.2368,0.7227
92,2.4382,7.4323,0.4194,0.237,0.7223
91,2.307,7.0236,0.3949,0.2372,0.7222
90,2.1795,6.6306,0.3721,0.2374,0.7221
89,2.0744,6.308,0.3529,0.2375,0.7221
88,1.9641,5.9644,0.3329,0.2377,0.722
87,1.845,5.5974,0.3093,0.238,0.7221
86,1.7752,5.3817,0.3,0.2381,0.7217
85,1.6564,5.0211,0.279,0.2381,0.7218
84,1.6035,4.8533,0.2698,0.2384,0.7215
83,1.4382,4.3434,0.2442,0.2387,0.7208
82,1.3231,3.9902,0.2235,0.239,0.7207
81,1.1991,3.612,0.202,0.2392,0.7205
80,1.0973,3.3026,0.1833,0.2394,0.7206
79,0.9918,2.9787,0.1652,0.2398,0.7202
78,0.9034,2.7123,0.152,0.2398,0.7199
77,0.8137,2.4412,0.1357,0.24,0.72
76,0.7424,2.2228,0.1238,0.2403,0.7196
75,0.6611,1.9785,0.1107,0.2404,0.7194
74,0.5993,1.7915,0.1003,0.2406,0.7192
73,0.5313,1.5895,0.0863,0.2407,0.7202
72,0.4811,1.4363,0.0817,0.2407,0.7185
71,0.4261,1.2708,0.0717,0.2409,0.7185
70,0.3835,1.1422,0.0653,0.241,0.7179
69,0.3378,1.006,0.0553,0.2414,0.7191
68,0.3064,0.9134,0.0506,0.2412,0.719
67,0.2465,0.734,0.0406,0.2414,0.7188
66,0.2006,0.5968,0.0337,0.2413,0.7181
65,0.163,0.485,0.0276,0.2413,0.7178
64,0.1324,0.3937,0.0223,0.2413,0.718
63,0.1062,0.316,0.0178,0.2414,0.7181
62,0.0861,0.2565,0.0143,0.2413,0.7186
61,0.0693,0.2064,0.0116,0.2411,0.7183
60,0.0573,0.1707,0.0096,0.241,0.7186
59,0.0419,0.1253,0.0072,0.2404,0.7182
58,0.028,0.0835,0.0047,0.2411,0.718
57,0.0157,0.0468,0.0027,0.2413,0.7173
56,0.0072,0.0214,0.0013,0.2419,0.7147
55,0.0028,0.0081,0.0006,0.2406,0.7096
54,0.0011,0.0031,0.0003,0.2443,0.6966
53,0.0005,0.0014,0.0002,0.2435,0.6517
52,0.0003,0.0006,0.0002,0.2381,0.6037
51,0.0001,0.0003,0.0001,0.2764,0.5399
50,0.0001,0.0001,0.0002,0.2563,0.2965
49,0.0001,0.0001,0.0001,0.2881,0.2263
48,0,0.0001,0.0002,0.1149,0.2128
47,0,0,0.0001,0.197,0.2217
46,0,0,0.0001,0.2326,0.2558
45,0,0,0.0001,0.1484,0.2033
44,0,0,0.0002,0.1061,0.0112
43,0,0,0.0001,0.1897,0.1897
42,0,0,0.0001,0.1217,0.0952
41,0,0,0.0001,0.2692,0.1026
40,0.0001,0,0.0002,0.2296,0
39,0.0001,0,0.0001,0.2654,0.128
38,0.0001,0,0.0002,0.1993,0.1317
37,0.0001,0,0.0001,0.2892,0.1324
36,0,0.0001,0.0001,0.2469,0.3951
35,0,0,0,0.4051,-0.0127
34,0,0,0.0001,0.3,0.1769
33,0,0.0001,0.0001,0.2166,0.2396
32,0,0,0.0001,0.2258,0.086
31,0.0001,0,0.0001,0.2842,0.0164
30,0,0,0.0001,0.4273,-0.2273
29,0.0001,0,0.0001,0.4355,-0.1452
28,0,0,0.0001,0.2829,0.2039
27,0,0,0.0001,0.1912,0.0833
26,0,0,0.0001,0.2185,0.2649
25,0,0,0.0002,0.1541,0.0645
24,0.0001,0,0.0001,0.2353,0.1849
23,0,0,0.0001,0.2009,0.1542
22,0.0001,0,0.0002,0.2629,0.1076
21,0.0001,0,0.0001,0.328,0.1005
20,0,0,0.0001,0.2364,0.1697
19,0,0,0.0002,0.1619,0.1984
18,0.0001,0,0.0001,0.4472,0.0813
17,0,0,0.0001,0.2625,0
16,0,0,0.0001,0.1846,0.1077
15,0,0,0.0001,0.15,0.11
14,0,0.0001,0.0001,0.1393,0.4229
13,0,0,0.0001,0.2205,0.2256
12,0,0,0.0001,0.1329,0.042
11,0.0001,0,0,0.4333,0.25
10,0,0,0.0001,0.2041,0.2449
9,0,0,0.0001,0.3423,-0.045
8,0,0.0001,0.0001,0.2487,0.3386
7,0,0,0.0002,0.1658,-0.0363
6,0,0,0.0001,0.1786,-0.0214
5,0.0001,0,0.0001,0.2525,0.202
4,0.0001,0,0.0001,0.3766,0.1169
3,0,0,0.0001,0.1182,0.2636
2,0,0,0,0.398,0.1122
1,0.0001,0,0.0001,0.3711,0.1384
0,0,0,0,0.5469,0.1719
Blue,X,Y,Z,x,y
255,143.1736,48.5922,831.1962,0.14,0.0475
254,141.4558,48.023,821.225,0.14,0.0475
253,140.6908,47.7749,816.7957,0.14,0.0475
252,140.2212,47.619,814.0992,0.1399,0.0475
251,138.0919,46.9143,801.8406,0.1399,0.0475
250,137.8636,46.8403,800.5473,0.1399,0.0475
249,135.4784,46.0443,786.6027,0.1399,0.0476
248,133.7114,45.473,776.4701,0.1399,0.0476
247,131.423,44.7118,763.1777,0.1399,0.0476
246,129.7641,44.1645,753.5735,0.1399,0.0476
245,127.7633,43.4976,741.9968,0.1399,0.0476
244,125.8879,42.8765,731.134,0.1399,0.0476
243,123.9613,42.2417,719.9894,0.1399,0.0477
242,122.0286,41.5994,708.8159,0.1399,0.0477
241,120.3409,41.0427,698.9846,0.1399,0.0477
240,118.4291,40.4033,687.9109,0.1399,0.0477
239,116.8696,39.8863,678.8705,0.1399,0.0477
238,114.8678,39.2225,667.3107,0.1398,0.0478
237,113.224,38.6734,657.796,0.1398,0.0478
236,111.4026,38.0738,647.242,0.1398,0.0478
235,109.914,37.5771,638.6452,0.1398,0.0478
234,108.141,36.9863,628.3472,0.1398,0.0478
233,106.4912,36.4394,618.7903,0.1398,0.0478
232,104.8324,35.8828,609.1891,0.1398,0.0478
231,103.0855,35.2982,599.0723,0.1398,0.0479
230,101.3949,34.74,589.2715,0.1398,0.0479
229,99.8278,34.2105,580.1773,0.1398,0.0479
